searched_word,nombre,precio,imagen_link
fab,Detergente Fab polvo protección colores + vivos x 2kg,$ 13.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506794-400-400/7702191162651.jpg?v=637261953776930000
fab,Detergente Fab polvo protección color + vivos x 6kg,$ 42.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3722391-400-400/7702191163115.jpg?v=637581553558130000
fab,Detergente Fab polvo protección colores + vivos x 4kg,$ 30.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506793-400-400/7702191162668.jpg?v=637261953775200000
fab,Fab floral poder acelerador detergente en polvo 4 kg,$ 26.990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506801-400-400/7702191000014.jpg?v=637261953794770000
fab,Detergente Fab Liquido Proteccion Color + Vivos X5L,$ 46.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3736616-400-400/7702191451182.jpg?v=637629298366630000
fab,Detergente Fab líquido protección colores + vivos x1.8Litros,$ 15.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724955-400-400/7702191162682---Detergente-FAB-Polvo-Proteccion-Color-1.8-Litros.jpg?v=637589582137000000
fab,Detergente Fab polvo x 3Kg,$ 20.190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506797-400-400/7702191162484.jpg?v=637261953782400000
fab,Detergente Fab líquido x3Litros,$ 20.390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724956-400-400/7702191348420.jpg?v=637589582583630000
fab,Detergente Fab líquido floral poder acelerador x 3L,$ 29.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3506835-400-400/7702191660010.jpg?v=637261956007900000
fab,Detergente Fab liquido Doy Pack X 900ml,$ 8990,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3377372-400-400/7702191661352.jpg?v=636816063961930000
fab,Lavaloza Fab lozamax limon x 700ml + gratis obsequio,$ 8590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3650175-400-400/7702191451410.jpg?v=637401137519000000
fab,Lavaloza Fab Loza Max Limón líquido x700ml,$ 7190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503432-400-400/7702191162200.jpg?v=637249839475070000
fab,Lavaloza Fab Loza Max Citrus x700ml,$ 7190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498726-400-400/7702191162163.jpg?v=637236916289730000
fab,Lavaloza Fab Loza Max Limón Liquido Botella x700ml,$ 9190,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3711071-400-400/7702191162217.jpg?v=637544468011270000
fab,Lavaloza Fab lozamax citrus liquido en botella x700ml,$ 8590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724953-400-400/7702191162170-FAB-LOZA-MAX-CITRUS-BOTELLA-700ML.jpg?v=637589580486930000
fab,Lavaloza Fab Loza Max Limón líquido Repuesto x300Ml Lavaloza Fab Loza ...,$ 3090,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503433-400-400/7702191162187.jpg?v=637249839477430000
fab,Lavaloza Fab Loza Max Citrus Liquido Botella x330Ml,$ 4790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3498724-400-400/7702191162156.jpg?v=637236916280670000
fab,Lavaloza Fab Loza Max Limón Liquido Botella x330Ml,$ 4790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3420472-400-400/7702191162194.jpg?v=636927817139530000
fab,Lavaloza Fab lozamax citrus x2 und x700ml c/u,$ 14.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724959-400-400/7702191451380-Oferta-Lavaloza-Fab-Loza-max-Citrus-Liquido-Botella-X2X700ML.jpg?v=637589584383400000
fab,Lavaloza Fab lozamax limón x2 und x700ml c/u,$ 14.790,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3724958-400-400/7702191451373-Oferta-Lavaloza-Fab-loza-max-Limon-Liquido-Botella-x2X700ml.jpg?v=637589584017930000
fab,Jabón En Barra Fab Multiusos limón X 300g,$ 2390,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503427-400-400/7702191658901.jpg?v=637249839461300000
fab,Brasilera 612925 Fi formas intimas Rosado S,$ 13.900,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3545741-400-400/image-2f18472a389743159503d4740205a0c4.jpg?v=637360316004470000
fab,Brasier 522925 Fi formas intimas Blanco 34,$ 39.900,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3545692-400-400/image-19687473339e4c05b52cb94f0d86edf5.jpg?v=637360315807770000
ponds crema,Crema facial Ponds clarant b3 protección solar fps 30x100g,$ 21.590,https://jumbocolombiafood.vteximg.com.br/arquivos/ids/3503497-400-400/7506306216778.jpg?v=637249840139230000
