ean:,nombre,precio,imagen_link
fab,//Detergente Fab Barra Floral X 350 Gr-dc,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Limpiador Fabuloso Lavanda X500cc,0,https://lh3.googleusercontent.com/Hl4pbW6D2DDPXlqMb9KZBCk0xn5dtNn-fmon48bX6DWdZKaPkbR3VRz4cDnho4lHSAi8023CP-UPJ6Z54gu5SaBOvJFhUEhzKsUE16ykw9VsD5n-=s650-rw
fab,Regla Plana Faber  Castell X30cm                                        ,$4300,https://lh3.googleusercontent.com/21-gkwAsLpl8i6isNarT5A9uJqVggVmJKjxyaGXk6V32Ymx9XJV_lCdgDdRYOnUyI1npk4vS7OpCnbqEt-iQPMfiL71KXFRJNQ=s650-rw
fab,//Creyones Jumbo Faber Castel X 12 Uds,$5300,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Detergente Polvo Fab Total Limon X 500 Gr,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Lapices De Colores Faber Castel X 12 Uds,$11.800,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Jabon En Barra Fab Limon X 350 G,$1300,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Detergente En Polvo Fab Total Floral X 500 Gr,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Detergente En Polvo Fab Limon X 1000 Gr,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
fab,//Detergente En Polvo Fab Limon X 250 Gr,0,https://lh3.googleusercontent.com/exTrlxb4DDDXvPfaRL_RJL0cncl69eWW1vUf2J_DiIf2b7mstsK1Haj7vrfmhI7dcKUV5dsVC15tvm1llwJ_4DdNDBV8tvpP5A=s650-rw
